"deploymentID", "timestamp", "variable", "value"
30,1524619260,"water temperature",7.523
30,1524619860,"water temperature",7.447
30,1524620460,"water temperature",7.418
30,1524621060,"water temperature",7.38
30,1524621660,"water temperature",7.294
30,1524622260,"water temperature",7.256
30,1524622860,"water temperature",7.189
30,1524623460,"water temperature",7.131
30,1524624060,"water temperature",7.093
30,1524624660,"water temperature",7.025
30,1524625260,"water temperature",6.987
30,1524625860,"water temperature",6.948
30,1524626460,"water temperature",6.9
30,1524627060,"water temperature",6.862
30,1524627660,"water temperature",6.843
30,1524628260,"water temperature",6.785
30,1524628860,"water temperature",6.746
30,1524629460,"water temperature",6.707
30,1524630060,"water temperature",6.688
30,1524630660,"water temperature",6.659
